rsr_raw,rsr_std,percentile,age_lower,age_upper
16,92,30,6,6.5
17,94,34,6,6.5
18,96,39,6,6.5
19,99,47,6,6.5
20,101,53,6,6.5
21,103,58,6,6.5
22,105,63,6,6.5
23,107,68,6,6.5
24,109,73,6,6.5
25,111,77,6,6.5
26,113,81,6,6.5
27,115,84,6,6.5
28,118,88,6,6.5
29,120,91,6,6.5
30,122,93,6,6.5
31,124,95,6,6.5
32,126,96,6,6.5
0,62,1,5.5,6
1,64,1,5.5,6
2,67,1,5.5,6
3,69,2,5.5,6
4,71,3,5.5,6
5,73,4,5.5,6
6,76,5,5.5,6
7,78,7,5.5,6
8,80,9,5.5,6
9,82,12,5.5,6
10,84,14,5.5,6
11,87,19,5.5,6
12,89,23,5.5,6
13,91,27,5.5,6
14,93,32,5.5,6
15,96,39,5.5,6
16,98,45,5.5,6
17,100,50,5.5,6
18,102,55,5.5,6
19,105,63,5.5,6
20,107,68,5.5,6
21,109,73,5.5,6
22,111,77,5.5,6
23,114,82,5.5,6
24,116,86,5.5,6
25,118,88,5.5,6
26,120,91,5.5,6
27,123,94,5.5,6
28,125,95,5.5,6
29,127,96,5.5,6
30,129,97,5.5,6
31,131,98,5.5,6
32,134,99,5.5,6
0,66,1,5,5.5
1,68,2,5,5.5
2,70,2,5,5.5
3,72,3,5,5.5
4,74,4,5,5.5
5,76,5,5,5.5
6,78,7,5,5.5
7,81,10,5,5.5
8,83,13,5,5.5
9,85,16,5,5.5
10,87,19,5,5.5
11,89,23,5,5.5
12,91,27,5,5.5
13,93,32,5,5.5
14,95,37,5,5.5
15,97,42,5,5.5
16,99,47,5,5.5
17,101,53,5,5.5
18,104,61,5,5.5
19,106,66,5,5.5
20,108,70,5,5.5
21,110,75,5,5.5
22,112,79,5,5.5
23,114,82,5,5.5
24,116,86,5,5.5
25,118,88,5,5.5
26,120,91,5,5.5
27,122,93,5,5.5
28,125,95,5,5.5
29,127,96,5,5.5
30,129,97,5,5.5
31,131,98,5,5.5
32,133,99,5,5.5
