"","trial","reaction_time","id","targ_index","scaled_rt"
"103",2221,NA,"spoli_c_071",7,NA
"104",2233,NA,"spoli_c_071",8,NA
"105",2245,NA,"spoli_c_071",9,NA
"106",2254,NA,"spoli_c_071",10,NA
"107",2260,NA,"spoli_c_071",11,NA
"108",2275,NA,"spoli_c_071",12,NA
"109",2284,NA,"spoli_c_071",13,NA
"110",2302,NA,"spoli_c_071",14,NA
"111",2311,-903,"spoli_c_071",15,-0.485574084101709
"112",2323,NA,"spoli_c_071",16,NA
"113",2344,NA,"spoli_c_071",17,NA
"114",2350,NA,"spoli_c_071",18,NA
"115",2365,NA,"spoli_c_071",19,NA
"116",2383,NA,"spoli_c_071",20,NA
"117",2392,NA,"spoli_c_071",21,NA
"118",2401,NA,"spoli_c_071",22,NA
"119",2416,NA,"spoli_c_071",23,NA
"120",2422,NA,"spoli_c_071",24,NA
"121",2675,406,"spoli_c_076",1,-0.0521505069406858
"122",2693,359,"spoli_c_076",2,-0.262995567260018
"123",2702,450,"spoli_c_076",3,0.145236358039114
"124",2708,456,"spoli_c_076",4,0.172152748718178
"125",2720,553,"spoli_c_076",5,0.607301064696374
"126",2741,425,"spoli_c_076",6,0.0330847302096824
"127",2753,458,"spoli_c_076",7,0.181124878944533
"128",2765,431,"spoli_c_076",8,0.0600011208887461
"129",2777,-604,"spoli_c_076",9,-4.58307627124974
"130",2786,446,"spoli_c_076",10,0.127292097586405
"131",2792,419,"spoli_c_076",11,0.00616833953061876
"132",2807,486,"spoli_c_076",12,0.306734702113496
"133",2816,416,"spoli_c_076",13,-0.00728985580891308
"134",2834,467,"spoli_c_076",14,0.221499464963128
"135",2843,444,"spoli_c_076",15,0.118319967360051
"136",2855,502,"spoli_c_076",16,0.378511743924333
"137",2876,495,"spoli_c_076",17,0.347109288132092
"138",2882,481,"spoli_c_076",18,0.28430437654761
"139",2897,464,"spoli_c_076",19,0.208041269623596
"140",2915,443,"spoli_c_076",20,0.113833902246873
"141",2924,555,"spoli_c_076",21,0.616273194922728
"142",2933,563,"spoli_c_076",22,0.652161715828147
"143",2948,483,"spoli_c_076",23,0.293276506773964
"144",2954,425,"spoli_c_076",24,0.0330847302096824
"145",3214,496,"spoli_c_078",1,-0.0299224841753036
"146",3220,585,"spoli_c_078",2,1.07205038131518
"147",3232,456,"spoli_c_078",3,-0.525191187766532
"148",3244,593,"spoli_c_078",4,1.17110412203343
"149",3256,427,"spoli_c_078",5,-0.884260997870173
"150",3271,581,"spoli_c_078",6,1.02252351095606
"151",3283,485,"spoli_c_078",7,-0.166121377662892
"152",3289,465,"spoli_c_078",8,-0.413755729458506
"153",3307,543,"spoli_c_078",9,0.55201824254439
"154",3313,529,"spoli_c_078",10,0.37867419628746
"155",3328,525,"spoli_c_078",11,0.329147325928337
"156",3343,496,"spoli_c_078",12,-0.0299224841753036
"157",3355,579,"spoli_c_078",13,0.997760075776496
"158",3364,516,"spoli_c_078",14,0.217711867620311
"159",3370,328,"spoli_c_078",15,-2.11005103925846
"160",3382,396,"spoli_c_078",16,-1.26809424315338
"161",3397,493,"spoli_c_078",17,-0.0670676369446458
"162",3406,462,"spoli_c_078",18,-0.450900882227848
"163",3421,514,"spoli_c_078",19,0.192948432440749
"164",3433,444,"spoli_c_078",20,-0.673771798843901
