"part_id","hit_before_n","hit_during_n","hit_after_n","miss_n","false_alarm_n","corr_rej_n","hit_n","target","distractors","d_prime","auto_dprime$dprime","sl_aprime","task"
"blast_c_122",3,4,7,34,53,475,14,48,528,0.730873904733959,0.730873904733959,0.717118933697881,"tsl"
"blast_c_124",0,29,12,7,19,509,41,48,528,2.85378219972586,2.85378219972586,0.951648595785833,"tsl"
"blast_c_126",5,9,6,28,65,463,20,48,528,0.94917057412552,0.94917057412552,0.759829668172001,"tsl"
"blast_c_147",5,18,11,14,73,455,34,48,528,1.63670341697421,1.63670341697421,0.866587823940765,"tsl"
"blast_c_149",9,5,1,33,83,445,15,48,528,0.517268556570436,0.517268556570436,0.670309839972761,"tsl"
"blast_c_150",9,19,7,13,101,427,35,48,528,1.48345482363432,1.48345482363432,0.8506919310198,"tsl"
"blast_c_164",6,6,3,33,97,431,15,48,528,0.412532226660128,0.412532226660128,0.642473458482739,"tsl"
"blast_c_168",18,18,1,11,27,501,37,48,528,2.37552795998247,2.37552795998247,0.923035991898267,"tsl"
"blast_c_193",17,9,3,19,164,364,29,48,528,0.758280164174137,0.758280164174137,0.727929398188019,"tsl"
"blast_c_204",15,9,6,18,134,394,30,48,528,0.981256554476381,0.981256554476381,0.772850330718351,"tsl"
"blast_c_206",9,10,7,22,69,459,26,48,528,1.22780737624104,1.22780737624104,0.807877035818212,"tsl"
"blast_c_209",1,1,1,45,10,518,3,48,528,0.542043430879758,0.542043430879758,0.68534281034281,"tsl"
"blast_c_210",1,1,6,40,23,505,8,48,528,0.743361254270529,0.743361254270529,0.716837308730873,"tsl"
"blast_c_211",5,3,9,31,27,501,17,48,528,1.25983850592323,1.25983850592323,0.793744062676786,"tsl"
"blast_c_213",3,3,2,40,30,498,8,48,528,0.614636288607653,0.614636288607653,0.693889193136181,"tsl"
"blast_c_216",0,3,3,42,66,462,6,48,528,0,0,0.5,"tsl"
"blast_c_220",5,32,2,9,44,484,39,48,528,2.27014068611951,2.27014068611951,0.923222610722611,"tsl"
"blast_c_230",9,7,5,27,48,480,21,48,528,1.17786705150877,1.17786705150877,0.793364448051948,"tsl"
"blast_c_232",17,11,0,20,32,496,28,48,528,1.76013429498451,1.76013429498451,0.863138877251781,"tsl"
"blast_c_233",5,29,5,9,35,493,39,48,528,2.39116834391894,2.39116834391894,0.929400889847137,"tsl"
"blast_c_265",10,8,5,25,90,438,23,48,528,0.900125367111691,0.900125367111691,0.754103723356255,"tsl"
"blast_c_267",8,17,8,15,51,477,33,48,528,1.79000033620393,1.79000033620393,0.878398045636468,"tsl"
"blast_c_268",12,8,10,18,92,436,30,48,528,1.25617160279969,1.25617160279969,0.816770920211287,"tsl"
"blast_c_269",10,5,4,29,53,475,19,48,528,1.01524921060613,1.01524921060613,0.768708133971292,"tsl"
