,part_id,accuracy_children_lsl_random_2afc_accuracies,accuracy_children_ssl_accuracies,accuracy_children_tsl_accuracies,accuracy_children_vsl_accuracies,accuracy_lsl_predictable_2afc_accuracies,entropy_children_lsl_predictable_entropy,entropy_children_lsl_randomized_entropy,entropy_children_ssl_entropy,entropy_children_tsl_entropy,entropy_children_vsl_entropy,gjt_std_score_gjt_web,rt_children_lsl_indiv_rts,rt_children_ssl_indiv_rts,rt_children_tsl_indiv_rts,rt_children_vsl_indiv_rts,slope_children_lsl_indiv_rts_slope,slope_children_ssl_indiv_rts_slope,slope_children_tsl_indiv_rts_slope,slope_children_vsl_indiv_rts_slope,accuracy_children_lsl_accuracies,entropy_children_lsl_entropy,kbit_matrices_raw,kbit_matrices_std,scq_total,a_prime,scq_web,scq_web_year,rsr_home_raw,rsr_home_standard,rsr_lab_raw,rsr_lab_standard,rsr_raw,rsr_std,groupN
1,blast_c_002,NA,0.406,0.531,0.469,0.438,0.93,NA,0.916,0.837,0.477,40,967.333,511.783,93.882,691.238,0.085,0.005,0.001,0.038,0.438,0.93,NA,NA,NA,0.52,28,2018,10,50,NA,NA,10,50,1
3,blast_c_019,NA,0.531,0.562,0.594,0.562,0.977,NA,0.947,0.953,0.947,NA,769.261,436.532,443.276,722.933,0.027,-0.042,-0.005,0.046,0.562,0.977,40,121,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,blast_c_028,NA,0.531,NA,0.531,0.5,1,NA,0.646,NA,0.923,51,741,645.333,NA,722.045,-0.013,0.012,NA,0.073,0.5,1,NA,NA,NA,0.59,13,2018,NA,NA,NA,NA,NA,NA,1
6,blast_c_036,NA,0.5,0.562,0.531,0.594,0.644,NA,0.917,0.905,0.983,81,561,450.838,104.84,347.474,0.023,0.028,-0.009,0.053,0.594,0.644,22,95,15,0.79,NA,NA,NA,NA,0,40,0,40,1
7,blast_c_038,NA,0.406,0.844,0.531,0.375,0.954,NA,0.895,0.611,0.882,NA,844.955,551.402,118.667,412.565,0.024,-0.013,-0.024,-0.082,0.375,0.954,NA,NA,NA,0.79,NA,NA,25,NA,NA,NA,25,NA,1
8,blast_c_045,NA,0.469,0.906,1,0.844,0.542,NA,0.976,0.329,0,NA,551.458,547.822,464.211,402.542,0.01,0.021,0.006,-0.02,0.844,0.542,NA,NA,NA,0.71,12,2017,25,NA,NA,NA,25,NA,1
9,blast_c_059,NA,0.438,0.594,0.531,0.562,0.977,NA,0.934,0.869,0.646,NA,869.812,702.166,39.087,465,0.067,-0.003,-0.012,0.039,0.562,0.977,26,98,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11,blast_c_071,NA,0.688,0.656,0.469,0.719,0.816,NA,0.837,0.9,0.934,94,471.565,336.13,177.419,456.125,-0.016,-0.019,-0.02,-0.047,0.719,0.816,35,128,7,0.88,NA,NA,25,98,NA,NA,25,98,1
13,blast_c_085,NA,0.5,0.5,0.438,NA,NA,NA,0.678,0.983,0.934,70,NA,510.392,235.075,663.5,NA,-0.002,-0.004,-0.01,NA,NA,NA,NA,NA,0.79,27,2017,23,76,NA,NA,23,76,1
16,blast_c_095,NA,0.625,0.531,0.438,0.781,0.644,NA,0.929,0.905,0.936,81,356.625,303.457,338.434,486.739,0.007,-0.051,0.027,0.04,0.781,0.644,38,133,15,0.79,NA,NA,NA,NA,NA,NA,NA,NA,1
