"","ans","subj","key","trial_order","corr"
"147","1","spoli_c_078",1,19,1
"148","1","spoli_c_078",1,20,1
"149","2","spoli_c_078",2,21,1
"150","2","spoli_c_078",1,22,0
"151","1","spoli_c_078",2,23,0
"152","1","spoli_c_078",1,24,1
"153","2","spoli_c_078",2,25,1
"154","1","spoli_c_078",1,26,1
"155","1","spoli_c_078",2,27,0
"156","2","spoli_c_078",1,28,0
"157","1","spoli_c_078",1,29,1
"158","2","spoli_c_078",2,30,1
"159","2","spoli_c_078",2,31,1
"160","1","spoli_c_078",2,32,0
"161","1","spoli_c_088",1,1,1
"162","1","spoli_c_088",1,2,1
"163","2","spoli_c_088",2,3,1
"164","2","spoli_c_088",1,4,0
"165","1","spoli_c_088",1,5,1
"166","2","spoli_c_088",1,6,0
"167","2","spoli_c_088",2,7,1
"168","1","spoli_c_088",2,8,0
"169","1","spoli_c_088",2,9,0
"170","1","spoli_c_088",2,10,0
"171","1","spoli_c_088",1,11,1
"172","1","spoli_c_088",1,12,1
"173","2","spoli_c_088",1,13,0
"174","1","spoli_c_088",2,14,0
"175","2","spoli_c_088",2,15,1
"176","1","spoli_c_088",1,16,1
"177","1","spoli_c_088",2,17,0
"178","1","spoli_c_088",2,18,0
"179","2","spoli_c_088",1,19,0
"180","1","spoli_c_088",1,20,1
"181","1","spoli_c_088",2,21,0
"182","1","spoli_c_088",1,22,1
"183","2","spoli_c_088",2,23,1
"184","2","spoli_c_088",1,24,0
"185","1","spoli_c_088",2,25,0
"186","1","spoli_c_088",1,26,1
"187","1","spoli_c_088",2,27,0
"188","1","spoli_c_088",1,28,1
"189","1","spoli_c_088",1,29,1
"190","2","spoli_c_088",2,30,1
"191","1","spoli_c_088",2,31,0
"192","2","spoli_c_088",2,32,1
"193","2","spoli_c_093",1,1,0
"194","1","spoli_c_093",1,2,1
"195","2","spoli_c_093",2,3,1
"196","2","spoli_c_093",1,4,0
"197","1","spoli_c_093",1,5,1
"198","2","spoli_c_093",1,6,0
"199","2","spoli_c_093",2,7,1
"200","2","spoli_c_093",2,8,1
"201","2","spoli_c_093",2,9,1
"202","2","spoli_c_093",2,10,1
"203","2","spoli_c_093",1,11,0
"204","2","spoli_c_093",1,12,0
"205","2","spoli_c_093",1,13,0
"206","2","spoli_c_093",2,14,1
"207","2","spoli_c_093",2,15,1
"208","2","spoli_c_093",1,16,0
"209","2","spoli_c_093",2,17,1
"210","2","spoli_c_093",2,18,1
"211","2","spoli_c_093",1,19,0
"212","2","spoli_c_093",1,20,0
"213","2","spoli_c_093",2,21,1
"214","1","spoli_c_093",1,22,1
"215","2","spoli_c_093",2,23,1
"216","1","spoli_c_093",1,24,1
"217","1","spoli_c_093",2,25,0
"218","2","spoli_c_093",1,26,0
"219","1","spoli_c_093",2,27,0
"220","2","spoli_c_093",1,28,0
"221","2","spoli_c_093",1,29,0
"222","1","spoli_c_093",2,30,0
"223","1","spoli_c_093",2,31,0
"224","1","spoli_c_093",2,32,0
"225","1","spoli_c_097",1,1,1
"226","1","spoli_c_097",1,2,1
"227","2","spoli_c_097",2,3,1
"228","2","spoli_c_097",1,4,0
"229","1","spoli_c_097",1,5,1
"230","2","spoli_c_097",1,6,0
"231","1","spoli_c_097",2,7,0
"232","2","spoli_c_097",2,8,1
"233","1","spoli_c_097",2,9,0
"234","1","spoli_c_097",2,10,0
"235","2","spoli_c_097",1,11,0
"236","2","spoli_c_097",1,12,0
"237","2","spoli_c_097",1,13,0
"238","1","spoli_c_097",2,14,0
"239","1","spoli_c_097",2,15,0
"240","1","spoli_c_097",1,16,1
"241","2","spoli_c_097",2,17,1
"242","1","spoli_c_097",2,18,0
"243","2","spoli_c_097",1,19,0
"244","2","spoli_c_097",1,20,0
"245","1","spoli_c_097",2,21,0
"246","1","spoli_c_097",1,22,1
"247","2","spoli_c_097",2,23,1
"248","2","spoli_c_097",1,24,0
"249","1","spoli_c_097",2,25,0
"250","2","spoli_c_097",1,26,0
"251","2","spoli_c_097",2,27,1
"252","2","spoli_c_097",1,28,0
"253","1","spoli_c_097",1,29,1
"254","2","spoli_c_097",2,30,1
"255","2","spoli_c_097",2,31,1
"256","2","spoli_c_097",2,32,1
"257","1","spoli_c_126",1,1,1
"258","1","spoli_c_126",1,2,1
"259","1","spoli_c_126",2,3,0
"260","1","spoli_c_126",1,4,1
"261","1","spoli_c_126",1,5,1
"262","1","spoli_c_126",1,6,1
"263","1","spoli_c_126",2,7,0
"264","1","spoli_c_126",2,8,0
"265","1","spoli_c_126",2,9,0
"266","1","spoli_c_126",2,10,0
"267","1","spoli_c_126",1,11,1
"268","1","spoli_c_126",1,12,1
"269","1","spoli_c_126",1,13,1
"270","1","spoli_c_126",2,14,0
"271","1","spoli_c_126",2,15,0
"272","1","spoli_c_126",1,16,1
"273","1","spoli_c_126",2,17,0
"274","1","spoli_c_126",2,18,0
"275","1","spoli_c_126",1,19,1
"276","1","spoli_c_126",1,20,1
"277","1","spoli_c_126",2,21,0
"278","1","spoli_c_126",1,22,1
"279","1","spoli_c_126",2,23,0
"280","1","spoli_c_126",1,24,1
"281","1","spoli_c_126",2,25,0
"282","1","spoli_c_126",1,26,1
"283","1","spoli_c_126",2,27,0
"284","1","spoli_c_126",1,28,1
"285","1","spoli_c_126",1,29,1
"286","1","spoli_c_126",2,30,0
"287","1","spoli_c_126",2,31,0
"288","1","spoli_c_126",2,32,0
"289","1","spoli_c_049",2,1,0
"290","1","spoli_c_049",1,2,1
"291","1","spoli_c_049",1,3,1
"292","1","spoli_c_049",2,4,0
"293","2","spoli_c_049",1,5,0
"294","1","spoli_c_049",2,6,0
"295","1","spoli_c_049",2,7,0
"296","1","spoli_c_049",1,8,1
"297","2","spoli_c_049",1,9,0
"298","1","spoli_c_049",2,10,0
"299","2","spoli_c_049",2,11,1
"300","1","spoli_c_049",1,12,1
"301","2","spoli_c_049",2,13,1
"302","2","spoli_c_049",1,14,0
"303","1","spoli_c_049",2,15,0
"304","2","spoli_c_049",1,16,0
"305","2","spoli_c_049",1,17,0
"306","2","spoli_c_049",2,18,1
"307","1","spoli_c_049",1,19,1
"308","1","spoli_c_049",2,20,0
"309","1","spoli_c_049",2,21,0
"310","1","spoli_c_049",1,22,1
"311","2","spoli_c_049",2,23,1
"312","2","spoli_c_049",1,24,0
"313","2","spoli_c_049",1,25,0
"314","1","spoli_c_049",2,26,0
"315","2","spoli_c_049",2,27,1
"316","2","spoli_c_049",1,28,0
"317","2","spoli_c_049",1,29,0
"318","1","spoli_c_049",2,30,0
"319","2","spoli_c_049",1,31,0
"320","1","spoli_c_049",2,32,0
"321","1","spoli_c_071",2,1,0
"322","1","spoli_c_071",1,2,1
"323","1","spoli_c_071",1,3,1
"324","1","spoli_c_071",2,4,0
"325","1","spoli_c_071",1,5,1
"326","1","spoli_c_071",2,6,0
"327","2","spoli_c_071",2,7,1
"328","1","spoli_c_071",1,8,1
"329","2","spoli_c_071",1,9,0
"330","2","spoli_c_071",2,10,1
"331","2","spoli_c_071",2,11,1
"332","2","spoli_c_071",1,12,0
"333","1","spoli_c_071",2,13,0
"334","1","spoli_c_071",1,14,1
"335","2","spoli_c_071",2,15,1
"336","1","spoli_c_071",1,16,1
"337","1","spoli_c_071",1,17,1
"338","1","spoli_c_071",2,18,0
"339","1","spoli_c_071",1,19,1
"340","1","spoli_c_071",2,20,0
"341","1","spoli_c_071",2,21,0
"342","1","spoli_c_071",1,22,1
