"","ans","subj","key","trial_order","corr"
"168","1","spoli_c_088",2,8,0
"169","1","spoli_c_088",2,9,0
"170","1","spoli_c_088",2,10,0
"171","1","spoli_c_088",1,11,1
"172","1","spoli_c_088",1,12,1
"173","2","spoli_c_088",1,13,0
"174","1","spoli_c_088",2,14,0
"175","1","spoli_c_088",2,15,0
"176","1","spoli_c_088",1,16,1
"177","1","spoli_c_088",2,17,0
"178","2","spoli_c_088",2,18,1
"179","1","spoli_c_088",1,19,1
"180","1","spoli_c_088",1,20,1
"181","1","spoli_c_088",2,21,0
"182","1","spoli_c_088",1,22,1
"183","2","spoli_c_088",2,23,1
"184","2","spoli_c_088",1,24,0
"185","1","spoli_c_088",2,25,0
"186","2","spoli_c_088",1,26,0
"187","1","spoli_c_088",2,27,0
"188","2","spoli_c_088",1,28,0
"189","1","spoli_c_088",1,29,1
"190","1","spoli_c_088",2,30,0
"191","1","spoli_c_088",2,31,0
"192","1","spoli_c_088",2,32,0
"193","2","spoli_c_093",1,1,0
"194","1","spoli_c_093",1,2,1
"195","1","spoli_c_093",2,3,0
"196","1","spoli_c_093",1,4,1
"197","2","spoli_c_093",1,5,0
"198","2","spoli_c_093",1,6,0
"199","2","spoli_c_093",2,7,1
"200","1","spoli_c_093",2,8,0
"201","1","spoli_c_093",2,9,0
"202","1","spoli_c_093",2,10,0
"203","1","spoli_c_093",1,11,1
"204","1","spoli_c_093",1,12,1
"205","1","spoli_c_093",1,13,1
"206","1","spoli_c_093",2,14,0
"207","1","spoli_c_093",2,15,0
"208","1","spoli_c_093",1,16,1
"209","1","spoli_c_093",2,17,0
"210","1","spoli_c_093",2,18,0
"211","2","spoli_c_093",1,19,0
"212","2","spoli_c_093",1,20,0
"213","2","spoli_c_093",2,21,1
"214","1","spoli_c_093",1,22,1
"215","1","spoli_c_093",2,23,0
"216","1","spoli_c_093",1,24,1
"217","1","spoli_c_093",2,25,0
"218","1","spoli_c_093",1,26,1
"219","1","spoli_c_093",2,27,0
"220","1","spoli_c_093",1,28,1
"221","2","spoli_c_093",1,29,0
"222","2","spoli_c_093",2,30,1
"223","2","spoli_c_093",2,31,1
"224","2","spoli_c_093",2,32,1
"225","1","spoli_c_097",1,1,1
"226","1","spoli_c_097",1,2,1
"227","2","spoli_c_097",2,3,1
"228","1","spoli_c_097",1,4,1
"229","2","spoli_c_097",1,5,0
"230","1","spoli_c_097",1,6,1
"231","2","spoli_c_097",2,7,1
"232","2","spoli_c_097",2,8,1
"233","1","spoli_c_097",2,9,0
"234","2","spoli_c_097",2,10,1
"235","1","spoli_c_097",1,11,1
"236","2","spoli_c_097",1,12,0
"237","1","spoli_c_097",1,13,1
"238","2","spoli_c_097",2,14,1
"239","2","spoli_c_097",2,15,1
"240","1","spoli_c_097",1,16,1
"241","2","spoli_c_097",2,17,1
"242","1","spoli_c_097",2,18,0
"243","1","spoli_c_097",1,19,1
"244","1","spoli_c_097",1,20,1
"245","2","spoli_c_097",2,21,1
"246","1","spoli_c_097",1,22,1
"247","2","spoli_c_097",2,23,1
"248","2","spoli_c_097",1,24,0
"249","2","spoli_c_097",2,25,1
"250","1","spoli_c_097",1,26,1
"251","2","spoli_c_097",2,27,1
"252","2","spoli_c_097",1,28,0
"253","1","spoli_c_097",1,29,1
"254","2","spoli_c_097",2,30,1
"255","2","spoli_c_097",2,31,1
"256","1","spoli_c_097",2,32,0
"257","1","spoli_c_049",2,1,0
"258","1","spoli_c_049",1,2,1
"259","2","spoli_c_049",2,3,1
"260","2","spoli_c_049",1,4,0
"261","2","spoli_c_049",2,5,1
"262","1","spoli_c_049",1,6,1
"263","1","spoli_c_049",1,7,1
"264","2","spoli_c_049",2,8,1
"265","1","spoli_c_049",2,9,0
"266","2","spoli_c_049",1,10,0
"267","2","spoli_c_049",2,11,1
"268","1","spoli_c_049",2,12,0
"269","1","spoli_c_049",1,13,1
"270","1","spoli_c_049",2,14,0
"271","2","spoli_c_049",1,15,0
"272","1","spoli_c_049",1,16,1
"273","2","spoli_c_049",2,17,1
"274","1","spoli_c_049",1,18,1
"275","2","spoli_c_049",2,19,1
"276","2","spoli_c_049",1,20,0
"277","1","spoli_c_049",2,21,0
"278","1","spoli_c_049",1,22,1
"279","1","spoli_c_049",2,23,0
"280","1","spoli_c_049",1,24,1
"281","2","spoli_c_049",2,25,1
"282","2","spoli_c_049",2,26,1
"283","1","spoli_c_049",1,27,1
"284","2","spoli_c_049",1,28,0
"285","1","spoli_c_049",2,29,0
"286","2","spoli_c_049",2,30,1
"287","2","spoli_c_049",1,31,0
"288","2","spoli_c_049",1,32,0
"289","2","spoli_c_071",2,1,1
"290","2","spoli_c_071",1,2,0
"291","2","spoli_c_071",2,3,1
"292","2","spoli_c_071",1,4,0
"293","2","spoli_c_071",2,5,1
"294","2","spoli_c_071",1,6,0
"295","2","spoli_c_071",1,7,0
"296","2","spoli_c_071",2,8,1
"297","2","spoli_c_071",2,9,1
"298","2","spoli_c_071",1,10,0
"299","2","spoli_c_071",2,11,1
"300","2","spoli_c_071",2,12,1
"301","2","spoli_c_071",1,13,0
"302","2","spoli_c_071",2,14,1
"303","2","spoli_c_071",1,15,0
"304","2","spoli_c_071",1,16,0
"305","2","spoli_c_071",2,17,1
"306","2","spoli_c_071",1,18,0
"307","2","spoli_c_071",2,19,1
"308","2","spoli_c_071",1,20,0
"309","2","spoli_c_071",2,21,1
"310","2","spoli_c_071",1,22,0
"311","2","spoli_c_071",2,23,1
"312","2","spoli_c_071",1,24,0
"313","2","spoli_c_071",2,25,1
"314","2","spoli_c_071",2,26,1
"315","2","spoli_c_071",1,27,0
"316","2","spoli_c_071",1,28,0
"317","2","spoli_c_071",2,29,1
"318","2","spoli_c_071",2,30,1
"319","2","spoli_c_071",1,31,0
"320","2","spoli_c_071",1,32,0
"321","1","spoli_c_125",2,1,0
"322","2","spoli_c_125",1,2,0
"323","2","spoli_c_125",2,3,1
"324","2","spoli_c_125",1,4,0
"325","1","spoli_c_125",2,5,0
"326","2","spoli_c_125",1,6,0
"327","2","spoli_c_125",1,7,0
"328","2","spoli_c_125",2,8,1
"329","2","spoli_c_125",2,9,1
"330","2","spoli_c_125",1,10,0
"331","2","spoli_c_125",2,11,1
"332","1","spoli_c_125",2,12,0
"333","2","spoli_c_125",1,13,0
"334","2","spoli_c_125",2,14,1
"335","2","spoli_c_125",1,15,0
"336","2","spoli_c_125",1,16,0
"337","2","spoli_c_125",2,17,1
"338","2","spoli_c_125",1,18,0
"339","1","spoli_c_125",2,19,0
"340","2","spoli_c_125",1,20,0
"341","2","spoli_c_125",2,21,1
"342","1","spoli_c_125",1,22,1
"343","2","spoli_c_125",2,23,1
"344","2","spoli_c_125",1,24,0
"345","2","spoli_c_125",2,25,1
"346","2","spoli_c_125",2,26,1
"347","1","spoli_c_125",1,27,1
"348","2","spoli_c_125",1,28,0
"349","1","spoli_c_125",2,29,0
"350","2","spoli_c_125",2,30,1
"351","2","spoli_c_125",1,31,0
"352","2","spoli_c_125",1,32,0
"353","2","spoli_c_342",2,1,1
"354","1","spoli_c_342",1,2,1
"355","2","spoli_c_342",2,3,1
"356","1","spoli_c_342",1,4,1
"357","2","spoli_c_342",2,5,1
"358","1","spoli_c_342",1,6,1
"359","1","spoli_c_342",1,7,1
"360","2","spoli_c_342",2,8,1
"361","1","spoli_c_342",2,9,0
"362","1","spoli_c_342",1,10,1
"363","1","spoli_c_342",2,11,0
"364","1","spoli_c_342",2,12,0
"365","2","spoli_c_342",1,13,0
"366","2","spoli_c_342",2,14,1
"367","2","spoli_c_342",1,15,0
"368","2","spoli_c_342",1,16,0
"369","1","spoli_c_342",2,17,0
"370","2","spoli_c_342",1,18,0
"371","2","spoli_c_342",2,19,1
"372","1","spoli_c_342",1,20,1
"373","1","spoli_c_342",2,21,0
"374","1","spoli_c_342",1,22,1
"375","1","spoli_c_342",2,23,0
"376","1","spoli_c_342",1,24,1
"377","1","spoli_c_342",2,25,0
"378","1","spoli_c_342",2,26,0
"379","1","spoli_c_342",1,27,1
"380","1","spoli_c_342",1,28,1
"381","1","spoli_c_342",2,29,0
"382","2","spoli_c_342",2,30,1
"383","2","spoli_c_342",1,31,0
"384","2","spoli_c_342",1,32,0
"385","1","spoli_c_346",2,1,0
"386","1","spoli_c_346",1,2,1
"387","1","spoli_c_346",2,3,0
"388","1","spoli_c_346",1,4,1
"389","1","spoli_c_346",2,5,0
"390","1","spoli_c_346",1,6,1
"391","1","spoli_c_346",1,7,1
"392","1","spoli_c_346",2,8,0
"393","1","spoli_c_346",2,9,0
"394","1","spoli_c_346",1,10,1
"395","1","spoli_c_346",2,11,0
"396","1","spoli_c_346",2,12,0
"397","1","spoli_c_346",1,13,1
"398","1","spoli_c_346",2,14,0
"399","1","spoli_c_346",1,15,1
"400","1","spoli_c_346",1,16,1
"401","1","spoli_c_346",2,17,0
"402","1","spoli_c_346",1,18,1
"403","1","spoli_c_346",2,19,0
"404","1","spoli_c_346",1,20,1
"405","1","spoli_c_346",2,21,0
"406","1","spoli_c_346",1,22,1
"407","1","spoli_c_346",2,23,0
"408","1","spoli_c_346",1,24,1
"409","1","spoli_c_346",2,25,0
"410","1","spoli_c_346",2,26,0
"411","1","spoli_c_346",1,27,1
"412","1","spoli_c_346",1,28,1
"413","1","spoli_c_346",2,29,0
"414","1","spoli_c_346",2,30,0
"415","1","spoli_c_346",1,31,1
"416","1","spoli_c_346",1,32,1
"417","2","spoli_c_379",2,1,1
"418","1","spoli_c_379",1,2,1
"419","2","spoli_c_379",2,3,1
"420","1","spoli_c_379",1,4,1
"421","2","spoli_c_379",2,5,1
"422","1","spoli_c_379",1,6,1
"423","2","spoli_c_379",1,7,0
"424","2","spoli_c_379",2,8,1
"425","1","spoli_c_379",2,9,0
"426","2","spoli_c_379",1,10,0
"427","2","spoli_c_379",2,11,1
"428","1","spoli_c_379",2,12,0
"429","2","spoli_c_379",1,13,0
"430","2","spoli_c_379",2,14,1
"431","2","spoli_c_379",1,15,0
"432","2","spoli_c_379",1,16,0
"433","2","spoli_c_379",2,17,1
"434","2","spoli_c_379",1,18,0
"435","2","spoli_c_379",2,19,1
"436","1","spoli_c_379",1,20,1
"437","1","spoli_c_379",2,21,0
"438","2","spoli_c_379",1,22,0
"439","1","spoli_c_379",2,23,0
"440","2","spoli_c_379",1,24,0
"441","2","spoli_c_379",2,25,1
"442","1","spoli_c_379",2,26,0
"443","2","spoli_c_379",1,27,0
"444","2","spoli_c_379",1,28,0
"445","1","spoli_c_379",2,29,0
"446","2","spoli_c_379",2,30,1
"447","1","spoli_c_379",1,31,1
"448","2","spoli_c_379",1,32,0
"449","2","spoli_c_391",2,1,1
"450","1","spoli_c_391",1,2,1
"451","1","spoli_c_391",2,3,0
"452","2","spoli_c_391",1,4,0
"453","2","spoli_c_391",2,5,1
"454","1","spoli_c_391",1,6,1
"455","1","spoli_c_391",1,7,1
"456","2","spoli_c_391",2,8,1
"457","1","spoli_c_391",2,9,0
"458","1","spoli_c_391",1,10,1
"459","2","spoli_c_391",2,11,1
"460","1","spoli_c_391",2,12,0
"461","1","spoli_c_391",1,13,1
"462","2","spoli_c_391",2,14,1
"463","1","spoli_c_391",1,15,1
"464","1","spoli_c_391",1,16,1
"465","2","spoli_c_391",2,17,1
"466","1","spoli_c_391",1,18,1
"467","1","spoli_c_391",2,19,0
"468","1","spoli_c_391",1,20,1
"469","1","spoli_c_391",2,21,0
"470","2","spoli_c_391",1,22,0
"471","1","spoli_c_391",2,23,0
"472","2","spoli_c_391",1,24,0
"473","2","spoli_c_391",2,25,1
"474","2","spoli_c_391",2,26,1
"475","1","spoli_c_391",1,27,1
"476","2","spoli_c_391",1,28,0
"477","1","spoli_c_391",2,29,0
"478","2","spoli_c_391",2,30,1
"479","1","spoli_c_391",1,31,1
"480","2","spoli_c_391",1,32,0
"481","2","spoli_c_396",2,1,1
"482","1","spoli_c_396",1,2,1
"483","2","spoli_c_396",2,3,1
"484","2","spoli_c_396",1,4,0
"485","2","spoli_c_396",2,5,1
"486","2","spoli_c_396",1,6,0
"487","2","spoli_c_396",1,7,0
"488","2","spoli_c_396",2,8,1
"489","2","spoli_c_396",2,9,1
"490","2","spoli_c_396",1,10,0
"491","2","spoli_c_396",2,11,1
"492","2","spoli_c_396",2,12,1
"493","1","spoli_c_396",1,13,1
"494","2","spoli_c_396",2,14,1
"495","2","spoli_c_396",1,15,0
"496","2","spoli_c_396",1,16,0
"497","1","spoli_c_396",2,17,0
"498","2","spoli_c_396",1,18,0
"499","1","spoli_c_396",2,19,0
"500","2","spoli_c_396",1,20,0
"501","1","spoli_c_396",2,21,0
"502","2","spoli_c_396",1,22,0
"503","2","spoli_c_396",2,23,1
"504","1","spoli_c_396",1,24,1
"505","1","spoli_c_396",2,25,0
"506","1","spoli_c_396",2,26,0
"507","1","spoli_c_396",1,27,1
"508","1","spoli_c_396",1,28,1
"509","1","spoli_c_396",2,29,0
"510","1","spoli_c_396",2,30,0
"511","1","spoli_c_396",1,31,1
"512","1","spoli_c_396",1,32,1
"513","1","spoli_c_404",2,1,0
"514","2","spoli_c_404",1,2,0
"515","1","spoli_c_404",2,3,0
"516","1","spoli_c_404",1,4,1
"517","1","spoli_c_404",2,5,0
"518","1","spoli_c_404",1,6,1
"519","2","spoli_c_404",1,7,0
"520","2","spoli_c_404",2,8,1
"521","1","spoli_c_404",2,9,0
"522","1","spoli_c_404",1,10,1
"523","1","spoli_c_404",2,11,0
"524","2","spoli_c_404",2,12,1
"525","2","spoli_c_404",1,13,0
"526","2","spoli_c_404",2,14,1
"527","1","spoli_c_404",1,15,1
"528","1","spoli_c_404",1,16,1
"529","1","spoli_c_404",2,17,0
"530","2","spoli_c_404",1,18,0
"531","1","spoli_c_404",2,19,0
"532","2","spoli_c_404",1,20,0
"533","1","spoli_c_404",2,21,0
"534","1","spoli_c_404",1,22,1
"535","2","spoli_c_404",2,23,1
"536","2","spoli_c_404",1,24,0
"537","2","spoli_c_404",2,25,1
"538","1","spoli_c_404",2,26,0
"539","1","spoli_c_404",1,27,1
"540","2","spoli_c_404",1,28,0
"541","1","spoli_c_404",2,29,0
"542","1","spoli_c_404",2,30,0
"543","2","spoli_c_404",1,31,0
"544","2","spoli_c_404",1,32,0
"545","1","spoli_c_409",2,1,0
"546","1","spoli_c_409",1,2,1
"547","2","spoli_c_409",2,3,1
"548","1","spoli_c_409",1,4,1
"549","2","spoli_c_409",2,5,1
"550","1","spoli_c_409",1,6,1
"551","2","spoli_c_409",1,7,0
"552","2","spoli_c_409",2,8,1
"553","2","spoli_c_409",2,9,1
"554","1","spoli_c_409",1,10,1
"555","1","spoli_c_409",2,11,0
"556","1","spoli_c_409",2,12,0
"557","1","spoli_c_409",1,13,1
"558","1","spoli_c_409",2,14,0
"559","1","spoli_c_409",1,15,1
"560","2","spoli_c_409",1,16,0
"561","2","spoli_c_409",2,17,1
"562","2","spoli_c_409",1,18,0
"563","2","spoli_c_409",2,19,1
"564","2","spoli_c_409",1,20,0
"565","1","spoli_c_409",2,21,0
"566","1","spoli_c_409",1,22,1
"567","2","spoli_c_409",2,23,1
"568","2","spoli_c_409",1,24,0
"569","1","spoli_c_409",2,25,0
"570","2","spoli_c_409",2,26,1
"571","2","spoli_c_409",1,27,0
"572","1","spoli_c_409",1,28,1
"573","2","spoli_c_409",2,29,1
"574","1","spoli_c_409",2,30,0
"575","1","spoli_c_409",1,31,1
"576","1","spoli_c_409",1,32,1
"577","1","spoli_c_410",2,1,0
"578","1","spoli_c_410",1,2,1
"579","1","spoli_c_410",2,3,0
"580","1","spoli_c_410",1,4,1
"581","1","spoli_c_410",2,5,0
"582","1","spoli_c_410",1,6,1
"583","2","spoli_c_410",1,7,0
"584","2","spoli_c_410",2,8,1
"585","2","spoli_c_410",2,9,1
"586","2","spoli_c_410",1,10,0
"587","2","spoli_c_410",2,11,1
"588","2","spoli_c_410",2,12,1
"589","2","spoli_c_410",1,13,0
"590","2","spoli_c_410",2,14,1
"591","1","spoli_c_410",1,15,1
"592","2","spoli_c_410",1,16,0
"593","1","spoli_c_410",2,17,0
"594","1","spoli_c_410",1,18,1
"595","1","spoli_c_410",2,19,0
"596","1","spoli_c_410",1,20,1
"597","1","spoli_c_410",2,21,0
"598","1","spoli_c_410",1,22,1
"599","2","spoli_c_410",2,23,1
"600","2","spoli_c_410",1,24,0
"601","2","spoli_c_410",2,25,1
"602","2","spoli_c_410",2,26,1
"603","2","spoli_c_410",1,27,0
"604","2","spoli_c_410",1,28,0
"605","1","spoli_c_410",2,29,0
"606","2","spoli_c_410",2,30,1
"607","1","spoli_c_410",1,31,1
"608","1","spoli_c_410",1,32,1
"609","1","spoli_c_419",2,1,0
"610","1","spoli_c_419",1,2,1
"611","2","spoli_c_419",2,3,1
"612","2","spoli_c_419",1,4,0
"613","1","spoli_c_419",2,5,0
"614","1","spoli_c_419",1,6,1
"615","2","spoli_c_419",1,7,0
"616","2","spoli_c_419",2,8,1
"617","1","spoli_c_419",2,9,0
"618","2","spoli_c_419",1,10,0
"619","2","spoli_c_419",2,11,1
"620","2","spoli_c_419",2,12,1
"621","2","spoli_c_419",1,13,0
"622","1","spoli_c_419",2,14,0
"623","1","spoli_c_419",1,15,1
"624","1","spoli_c_419",1,16,1
"625","1","spoli_c_419",2,17,0
"626","1","spoli_c_419",1,18,1
"627","1","spoli_c_419",2,19,0
"628","2","spoli_c_419",1,20,0
"629","2","spoli_c_419",2,21,1
"630","2","spoli_c_419",1,22,0
"631","2","spoli_c_419",2,23,1
"632","2","spoli_c_419",1,24,0
"633","2","spoli_c_419",2,25,1
"634","2","spoli_c_419",2,26,1
"635","2","spoli_c_419",1,27,0
"636","2","spoli_c_419",1,28,0
"637","2","spoli_c_419",2,29,1
"638","2","spoli_c_419",2,30,1
"639","1","spoli_c_419",1,31,1
"640","2","spoli_c_419",1,32,0
"641","2","spoli_c_439",2,1,1
"642","2","spoli_c_439",1,2,0
"643","2","spoli_c_439",2,3,1
"644","2","spoli_c_439",1,4,0
"645","1","spoli_c_439",2,5,0
"646","1","spoli_c_439",1,6,1
"647","1","spoli_c_439",1,7,1
"648","2","spoli_c_439",2,8,1
"649","2","spoli_c_439",2,9,1
"650","2","spoli_c_439",1,10,0
"651","1","spoli_c_439",2,11,0
"652","1","spoli_c_439",2,12,0
"653","2","spoli_c_439",1,13,0
"654","1","spoli_c_439",2,14,0
"655","1","spoli_c_439",1,15,1
"656","1","spoli_c_439",1,16,1
"657","2","spoli_c_439",2,17,1
"658","1","spoli_c_439",1,18,1
"659","2","spoli_c_439",2,19,1
"660","2","spoli_c_439",1,20,0
"661","1","spoli_c_439",2,21,0
"662","1","spoli_c_439",1,22,1
"663","1","spoli_c_439",2,23,0
"664","1","spoli_c_439",1,24,1
"665","1","spoli_c_439",2,25,0
"666","1","spoli_c_439",2,26,0
"667","1","spoli_c_439",1,27,1
"668","1","spoli_c_439",1,28,1
"669","2","spoli_c_439",2,29,1
"670","2","spoli_c_439",2,30,1
"671","2","spoli_c_439",1,31,0
"672","1","spoli_c_439",1,32,1
"673","1","spoli_c_444",2,1,0
"674","1","spoli_c_444",1,2,1
"675","2","spoli_c_444",2,3,1
"676","1","spoli_c_444",1,4,1
"677","2","spoli_c_444",2,5,1
"678","1","spoli_c_444",1,6,1
"679","1","spoli_c_444",1,7,1
"680","1","spoli_c_444",2,8,0
"681","1","spoli_c_444",2,9,0
"682","2","spoli_c_444",1,10,0
"683","2","spoli_c_444",2,11,1
"684","2","spoli_c_444",2,12,1
"685","1","spoli_c_444",1,13,1
"686","1","spoli_c_444",2,14,0
"687","2","spoli_c_444",1,15,0
"688","1","spoli_c_444",1,16,1
"689","2","spoli_c_444",2,17,1
"690","2","spoli_c_444",1,18,0
"691","2","spoli_c_444",2,19,1
"692","1","spoli_c_444",1,20,1
"693","1","spoli_c_444",2,21,0
"694","2","spoli_c_444",1,22,0
"695","2","spoli_c_444",2,23,1
"696","2","spoli_c_444",1,24,0
"697","2","spoli_c_444",2,25,1
"698","2","spoli_c_444",2,26,1
"699","2","spoli_c_444",1,27,0
"700","1","spoli_c_444",1,28,1
"701","2","spoli_c_444",2,29,1
"702","2","spoli_c_444",2,30,1
"703","1","spoli_c_444",1,31,1
"704","1","spoli_c_444",1,32,1
"705","1","spoli_c_447",2,1,0
"706","1","spoli_c_447",1,2,1
"707","2","spoli_c_447",2,3,1
"708","2","spoli_c_447",1,4,0
"709","2","spoli_c_447",2,5,1
"710","2","spoli_c_447",1,6,0
"711","2","spoli_c_447",1,7,0
"712","2","spoli_c_447",2,8,1
"713","2","spoli_c_447",2,9,1
"714","2","spoli_c_447",1,10,0
"715","2","spoli_c_447",2,11,1
"716","2","spoli_c_447",2,12,1
"717","2","spoli_c_447",1,13,0
"718","2","spoli_c_447",2,14,1
"719","2","spoli_c_447",1,15,0
"720","2","spoli_c_447",1,16,0
"721","2","spoli_c_447",2,17,1
"722","2","spoli_c_447",1,18,0
"723","2","spoli_c_447",2,19,1
"724","2","spoli_c_447",1,20,0
"725","2","spoli_c_447",2,21,1
"726","2","spoli_c_447",1,22,0
"727","2","spoli_c_447",2,23,1
"728","2","spoli_c_447",1,24,0
"729","2","spoli_c_447",2,25,1
"730","2","spoli_c_447",2,26,1
"731","2","spoli_c_447",1,27,0
"732","2","spoli_c_447",1,28,0
"733","2","spoli_c_447",2,29,1
"734","2","spoli_c_447",2,30,1
