"","ans","subj","key","trial_order","corr"
"147","1","spoli_c_078",1,19,1
"148","1","spoli_c_078",1,20,1
"149","2","spoli_c_078",2,21,1
"150","1","spoli_c_078",1,22,1
"151","2","spoli_c_078",2,23,1
"152","1","spoli_c_078",1,24,1
"153","2","spoli_c_078",2,25,1
"154","1","spoli_c_078",1,26,1
"155","2","spoli_c_078",2,27,1
"156","1","spoli_c_078",1,28,1
"157","1","spoli_c_078",1,29,1
"158","2","spoli_c_078",2,30,1
"159","2","spoli_c_078",2,31,1
"160","2","spoli_c_078",2,32,1
"161","1","spoli_c_088",1,1,1
"162","1","spoli_c_088",1,2,1
"163","2","spoli_c_088",2,3,1
"164","1","spoli_c_088",1,4,1
"165","2","spoli_c_088",1,5,0
"166","2","spoli_c_088",1,6,0
"167","1","spoli_c_088",2,7,0
"168","2","spoli_c_088",2,8,1
"169","2","spoli_c_088",2,9,1
"170","1","spoli_c_088",2,10,0
"171","2","spoli_c_088",1,11,0
"172","1","spoli_c_088",1,12,1
"173","2","spoli_c_088",1,13,0
"174","1","spoli_c_088",2,14,0
"175","2","spoli_c_088",2,15,1
"176","1","spoli_c_088",1,16,1
"177","2","spoli_c_088",2,17,1
"178","1","spoli_c_088",2,18,0
"179","2","spoli_c_088",1,19,0
"180","1","spoli_c_088",1,20,1
"181","2","spoli_c_088",2,21,1
"182","1","spoli_c_088",1,22,1
"183","2","spoli_c_088",2,23,1
"184","1","spoli_c_088",1,24,1
"185","2","spoli_c_088",2,25,1
"186","1","spoli_c_088",1,26,1
"187","2","spoli_c_088",2,27,1
"188","1","spoli_c_088",1,28,1
"189","1","spoli_c_088",1,29,1
"190","2","spoli_c_088",2,30,1
"191","1","spoli_c_088",2,31,0
"192","1","spoli_c_088",2,32,0
"193","1","spoli_c_090",1,1,1
"194","1","spoli_c_090",1,2,1
"195","1","spoli_c_090",2,3,0
"196","1","spoli_c_090",1,4,1
"197","1","spoli_c_090",1,5,1
"198","1","spoli_c_090",1,6,1
"199","1","spoli_c_090",2,7,0
"200","1","spoli_c_090",2,8,0
"201","1","spoli_c_090",2,9,0
"202","1","spoli_c_090",2,10,0
"203","1","spoli_c_090",1,11,1
"204","1","spoli_c_090",1,12,1
"205","2","spoli_c_090",1,13,0
"206","1","spoli_c_090",2,14,0
"207","1","spoli_c_090",2,15,0
"208","1","spoli_c_090",1,16,1
"209","1","spoli_c_090",2,17,0
"210","1","spoli_c_090",2,18,0
"211","1","spoli_c_090",1,19,1
"212","1","spoli_c_090",1,20,1
"213","1","spoli_c_090",2,21,0
"214","1","spoli_c_090",1,22,1
"215","1","spoli_c_090",2,23,0
"216","1","spoli_c_090",1,24,1
"217","1","spoli_c_090",2,25,0
"218","1","spoli_c_090",1,26,1
"219","1","spoli_c_090",2,27,0
"220","1","spoli_c_090",1,28,1
"221","1","spoli_c_090",1,29,1
"222","1","spoli_c_090",2,30,0
"223","1","spoli_c_090",2,31,0
"224","1","spoli_c_090",2,32,0
"225","1","spoli_c_093",1,1,1
"226","1","spoli_c_093",1,2,1
"227","1","spoli_c_093",2,3,0
"228","2","spoli_c_093",1,4,0
"229","2","spoli_c_093",1,5,0
"230","1","spoli_c_093",1,6,1
"231","1","spoli_c_093",2,7,0
"232","1","spoli_c_093",2,8,0
"233","1","spoli_c_093",2,9,0
"234","2","spoli_c_093",2,10,1
"235","2","spoli_c_093",1,11,0
"236","1","spoli_c_093",1,12,1
"237","2","spoli_c_093",1,13,0
"238","1","spoli_c_093",2,14,0
"239","1","spoli_c_093",2,15,0
"240","1","spoli_c_093",1,16,1
"241","2","spoli_c_093",2,17,1
"242","2","spoli_c_093",2,18,1
"243","1","spoli_c_093",1,19,1
"244","2","spoli_c_093",1,20,0
"245","1","spoli_c_093",2,21,0
"246","1","spoli_c_093",1,22,1
"247","2","spoli_c_093",2,23,1
"248","1","spoli_c_093",1,24,1
"249","2","spoli_c_093",2,25,1
"250","1","spoli_c_093",1,26,1
"251","2","spoli_c_093",2,27,1
"252","2","spoli_c_093",1,28,0
"253","1","spoli_c_093",1,29,1
"254","2","spoli_c_093",2,30,1
"255","1","spoli_c_093",2,31,0
"256","1","spoli_c_093",2,32,0
"257","2","spoli_c_097",1,1,0
"258","1","spoli_c_097",1,2,1
"259","2","spoli_c_097",2,3,1
"260","1","spoli_c_097",1,4,1
"261","2","spoli_c_097",1,5,0
"262","1","spoli_c_097",1,6,1
"263","2","spoli_c_097",2,7,1
"264","2","spoli_c_097",2,8,1
"265","1","spoli_c_097",2,9,0
"266","2","spoli_c_097",2,10,1
"267","2","spoli_c_097",1,11,0
"268","1","spoli_c_097",1,12,1
"269","1","spoli_c_097",1,13,1
"270","1","spoli_c_097",2,14,0
"271","2","spoli_c_097",2,15,1
"272","1","spoli_c_097",1,16,1
"273","2","spoli_c_097",2,17,1
"274","1","spoli_c_097",2,18,0
"275","2","spoli_c_097",1,19,0
"276","2","spoli_c_097",1,20,0
"277","2","spoli_c_097",2,21,1
"278","1","spoli_c_097",1,22,1
"279","1","spoli_c_097",2,23,0
"280","1","spoli_c_097",1,24,1
"281","2","spoli_c_097",2,25,1
"282","2","spoli_c_097",1,26,0
"283","1","spoli_c_097",2,27,0
"284","2","spoli_c_097",1,28,0
"285","1","spoli_c_097",1,29,1
"286","2","spoli_c_097",2,30,1
"287","1","spoli_c_097",2,31,0
"288","2","spoli_c_097",2,32,1
"289","2","spoli_c_126",1,1,0
"290","2","spoli_c_126",1,2,0
"291","2","spoli_c_126",2,3,1
"292","2","spoli_c_126",1,4,0
"293","2","spoli_c_126",1,5,0
"294","2","spoli_c_126",1,6,0
"295","1","spoli_c_126",2,7,0
"296","1","spoli_c_126",2,8,0
"297","1","spoli_c_126",2,9,0
"298","1","spoli_c_126",2,10,0
"299","2","spoli_c_126",1,11,0
"300","1","spoli_c_126",1,12,1
"301","2","spoli_c_126",1,13,0
"302","1","spoli_c_126",2,14,0
"303","2","spoli_c_126",2,15,1
"304","2","spoli_c_126",1,16,0
"305","2","spoli_c_126",2,17,1
"306","1","spoli_c_126",2,18,0
"307","1","spoli_c_126",1,19,1
"308","2","spoli_c_126",1,20,0
"309","2","spoli_c_126",2,21,1
"310","2","spoli_c_126",1,22,0
"311","1","spoli_c_126",2,23,0
"312","2","spoli_c_126",1,24,0
"313","2","spoli_c_126",2,25,1
"314","1","spoli_c_126",1,26,1
"315","1","spoli_c_126",2,27,0
"316","2","spoli_c_126",1,28,0
"317","2","spoli_c_126",1,29,0
"318","2","spoli_c_126",2,30,1
"319","2","spoli_c_126",2,31,1
"320","2","spoli_c_126",2,32,1
"321","2","spoli_c_049",2,1,1
"322","1","spoli_c_049",2,2,0
"323","1","spoli_c_049",1,3,1
"324","2","spoli_c_049",2,4,1
"325","2","spoli_c_049",1,5,0
"326","2","spoli_c_049",2,6,1
"327","2","spoli_c_049",2,7,1
"328","2","spoli_c_049",1,8,0
"329","2","spoli_c_049",2,9,1
"330","1","spoli_c_049",1,10,1
"331","2","spoli_c_049",2,11,1
"332","2","spoli_c_049",1,12,0
"333","1","spoli_c_049",1,13,1
"334","1","spoli_c_049",2,14,0
"335","1","spoli_c_049",1,15,1
"336","2","spoli_c_049",2,16,1
"337","1","spoli_c_049",1,17,1
"338","2","spoli_c_049",1,18,0
"339","2","spoli_c_049",2,19,1
"340","1","spoli_c_049",1,20,1
"341","1","spoli_c_049",1,21,1
"342","1","spoli_c_049",2,22,0
