"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.04,0.05,99,-0.77,0.44
"group1",0.18,0.11,99,1.65,0.1
"domain1",0.13,0.1,99,1.23,0.22
"age_scaled",0.08,0.05,99,1.49,0.14
"group1:domain1",0.13,0.2,99,0.64,0.52
