"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.05,0.08,-0.61,0.54
"group1",0.27,0.17,1.65,0.11
"composite_ssl",0.15,0.13,1.16,0.25
"group1:composite_ssl",0.27,0.26,1.04,0.31
